source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
mrzáček	cripple	Krüppel	verlammen	калека	lisiado	paralyser	mrzák	#VALUE!	paralyzovat	mrzák	zmrzačený	paralyzovat
zámrazek	frost	Frost	vorst	мороз	escarcha	gel	mráz	#VALUE!	princ	mrznutí	Mráz	zmrazit
mraznička	freezer	Gefrierschrank	diepvries	морозильник	congelador	congélateur	mrazák	mrazák	mrazák	Mráz	mrazák	mrazák
mrazík	frost	Frost	vorst	мороз	escarcha	gel	mráz	#VALUE!	princ	mrznutí	Mráz	zmrazit
zmrzlíček	ice cream	Eis	Softijs	мороженое	helado	crème glacée	zmrzlina	#VALUE!	Zmrzlina	zmrzlina	zamrzlý	zmrzlina
zmrzka	ice cream	Eis	Softijs	мороженое	helado	crème glacée	zmrzlina	#VALUE!	Zmrzlina	zmrzlina	zamrzlý	zmrzlina
zmrzlinka	ice cream	Eis	Softijs	мороженое	helado	crème glacée	zmrzlina	#VALUE!	Zmrzlina	zmrzlina	zamrzlý	zmrzlina
mršinka	carrion	Aas	aas	перевозчик	carroña	charogne	mršina	#VALUE!	návnada	dopravce	mršina	mršina
mrška	bump	stoßen	buil	удар	bulto	cogner	narazit	#VALUE!	narazit	udeřil	balík	narazit
mučeníčko	torture	Folter	marteling	пытка	tortura	torture	mučení	#VALUE!	mučení	mučení	mučení	mučení
muzikálek	musical	Musical	muziek-	мюзикл	musical	musical	hudební	#VALUE!	hudba	hudební	hudební	hudební
mušlička	shell	Hülse	schelp	оболочка	caparazón	coquille	Shell	#VALUE!	Shell	Shell	Shell	Shell
mužík	little man	kleiner Mann	kleine man	маленький человек	hombrecito	petit homme	mužíček	mužíček	malý muž	malý muž	mužíček	mužíček
mužíček	little man	kleiner Mann	kleine man	маленький человек	hombrecito	petit homme	mužíček	mužíček	malý muž	malý muž	mužíček	mužíček
zámeček	chateau	Chateau	kasteel	замок	castillo	château	zámek	#VALUE!	hrad	zámek	hrad	hrad
zámečníček	locksmith	Schlosser	slotenmaker	слесарь	cerrajero	serrurier	zámečník	#VALUE!	zámečník	zámečník	zámečník	zámečník
mysliveček	hunter	Jäger	jager	Охотник	cazador	chasseur	lovec	#VALUE!	lovec	lovec	lovec	lovec
myšlénka	idea	Idee	idee	идея	ocurrencia	idée	idea	#VALUE!	idea	idea	idea	idea
myšátko	mouse	Maus	muis	мыши	ratón	Souris	myš	#VALUE!	myš	myši	myš	Myš
myška	mouse	Maus	muis	мыши	ratón	Souris	myš	#VALUE!	myš	myši	myš	Myš
myšička	mouse	Maus	muis	мыши	ratón	Souris	myš	#VALUE!	myš	myši	myš	Myš
myšáček	mouse	Maus	muis	мыши	ratón	Souris	myš	#VALUE!	myš	myši	myš	Myš
makovička	poppy	Mohn	papaver	мак	amapola	coquelicot	mák	#VALUE!	mák	mák	mák	mák
makovníček	poppy seed	Mohn	maanzaad	маковое семя	semilla de amapola	graine de pavot	mák	#VALUE!	mák	mák	mák	mák
maminečka	mom	Mama	mama	Мама	mamá	maman	maminka	#VALUE!	maminka	Matka	prsa	maminka
mamička	mum	Mama	mamma	мама	mamá	maman	maminka	#VALUE!	máma	matka	prsa	maminka
máselník	butter	Butter	boter	масло	manteca	Beurre	máslo	#VALUE!	máslo	olej	máslo	Máslo
máselnička	butter	Butter	boter	масло	manteca	Beurre	máslo	#VALUE!	máslo	olej	máslo	Máslo
máslenka	butter	Butter	boter	масло	manteca	Beurre	máslo	#VALUE!	máslo	olej	máslo	Máslo
máslíčko	butter	Butter	boter	масло	manteca	Beurre	máslo	#VALUE!	máslo	olej	máslo	Máslo
másílko	butter	Butter	boter	масло	manteca	Beurre	máslo	#VALUE!	máslo	olej	máslo	Máslo
mateníčko	matt	Matt	mat	матт	mate	mat	Matt	#VALUE!	rohož	Matt	Mate	stožár
mázdřivka	mount	montieren	beramen	устанавливать	montar	monter	Mount	#VALUE!	omítka	Nainstalujte	Mount	zlézt
metlička	whisk	Schneebesen	garde	венчить	batidor	fouet	metla	Metla	hlídat	korunovat	metla	bič
smetáček	brush	Bürste	borstel	щетка	cepillo	brosser	štětec	#VALUE!	štětec	štětec	štětec	štětec
zmínečka	mention	nennen	noemen	упомянуть	mencion	mention	zmínit se	#VALUE!	Zavolat	zmínit se	zmínit se	zmínit se
smírek	emery	Schmirgel	Emery	Эмери	esmeril	émeri	smirek	#VALUE!	Smirek	Smirek	smirek	smirek
mistička	bowl	Schüssel	schaal	чаша	cuenco	bol	miska	#VALUE!	Měřítko	miska	miska	miska
směska	mixture	Mischung	mengsel	смесь	mezcla	mélange	směs	#VALUE!	směs	směs	směs	smíšený
místnůstka	room	Zimmer	kamer	номер	habitación	chambre	pokoj, místnost	#VALUE!	pokoj, místnost	pokoj, místnost	pokoj, místnost	ložnice
zaměstnaneček	employee	Angestellter	medewerker	работник	empleado	employé	zaměstnanec	zaměstnanec	spolupracovník	zaměstnanec	zaměstnanec	zaměstnanec
místečko	place	Platz	plaats	место	lugar	place	místo	#VALUE!	Místo	místo	místo	náměstí
jměníčko	fortune	Reichtum	fortuin	удача	fortuna	fortune	štěstí	#VALUE!	štěstí	štěstí	štěstí	štěstí
majeteček	property	Eigentum	eigendom	имущество	propiedad	propriété	vlastnictví	#VALUE!	vlastnictví	vlastnictví	vlastnictví	vlastnictví
míček	ball	Ball	bal	мяч	pelota	Balle	míč	#VALUE!	míč	míč	míč	Míč
míšenečka	half-breed	halb vorgebreitet	halfbreed	Половина	medios	métis	polovina breen	#VALUE!	napůl na celé	Polovina	média	metis
umyvadélko	sink	Waschbecken	wasbak	раковина	pileta	évier	dřez	umyvadlo	dřez	dřez	dřez	dřez
umývárnička	washroom	Waschraum	toilet	уборная	baño	toilettes	toaleta	#VALUE!	toaleta	toaleta	koupel	koupelna
mýtinka	clearing	Clearing	opruiming	поля	claro	clairière	clearing	#VALUE!	odbavení	Pole	Tak určitě	clearing
měchýřek	bladder	Blase	blaas	мочевой пузырь	vejiga	vessie	měchýř	#VALUE!	měchýř	měchýř	měchýř	měchýř
měchuřinka	bellows	Balg	balg	сильфовать	fuelle	soufflet	měchy	#VALUE!	níže	Sylple	měchy	měchy
směnečníček	bill	Rechnung	rekening	законопроект	factura	facture	účtovat	#VALUE!	účet	účtovat	faktura	faktura
výměnka	quarrel	Streit	ruzie	ссориться	disputa	querelle	hádka	#VALUE!	řádek	dohadovat se	hádka	hádka
záměnka	confusion	Verwirrtheit	verwardheid	путаница	confusión	confusion	zmatek	zmatek	zmatek	zmatek	zmatek	zmatek
městečko	town	Stadt, Dorf	dorp	городок	pueblo	ville	město	Město, vesnice	vesnice	město	vesnice	město
měšťáček	bourgeois	Bourgeois	burgerlijk	буржуазный	burgués	bourgeois	Bourgeois	#VALUE!	civilní	Bourgeois	Bourgeois	Bourgeois
náměstíčko	square	Quadrat	vierkant	площадь	cuadrado	carré	náměstí	#VALUE!	náměstí	náměstí	náměstí	náměstí
měsíček	marigold	Ringelblume	goudsbloem	ногол	maravilla	souci	měsíček	Měsíček	měsíček	Nogol	Báječné	trápit se
měďáček	copper	Kupfer	koper	медь	cobre	cuivre	měď	#VALUE!	kupující	měď	měď	měď
mírka	measure	messen	meeteenheid	мера	medida	mesure	opatření	#VALUE!	měřicí jednotka	opatření	opatření	opatření
výměrek	anxiety	Angst	ongerustheid	беспокойство	ansiedad	anxiété	úzkost	#VALUE!	úzkost	úzkost	úzkost	úzkost
morek	marrow	Mark	merg	костный мозг	médula	moelle	dřeň	#VALUE!	dřeň	Kostní dřeň	dřeň	kostní dřeň
smrtička	death	Tod	dood	смерть	muerte	décès	smrt	#VALUE!	mrtvý	smrt	smrt	smrt
umíráček	knell	Totenglocke	knell	пятно	toque de difuntos	glas	umíráček	Mrtvý zvonek	pokyvovat hlavou	bod	umíráček	Smrtící kolena
mřížka	grid	Netz	rooster	сетка	cuadrícula	la grille	mřížka	#VALUE!	plán	mřížka	Mřížka	Mřížka
mšička	mesh	Gittergewebe	mazen	сетка	malla	engrener	pletivo	Mřížka	pletivo	mřížka	pletivo	pletivo
nadměrek	oversize	übergroß	oversized	негабаритный	demasiado grande	trop grand	nadměrná velikost	#VALUE!	nadměrné	Negabarit	Příliš velký	příliš velký
náhodička	chance	Chance	kans	шанс	oportunidad	chance	šance	#VALUE!	příležitost	šance	šance	šance
nahotinka	nud	nud	naakt	облегающий	nud	nud	nud	#VALUE!	nahý	přiléhavý	Nud	nud
naháček	nacker	Nacker	nacker	Накер	nacker	nacker	Nacker	#VALUE!	Nacker	Naker	Nacker	Nacker
nakolárek	scoop	Scoop	lepel	совок	cucharón	scoop	lopatka	#VALUE!	lžíce	lopatka	naběračka	lopatka
námrazek	frost	Frost	vorst	мороз	escarcha	gel	mráz	#VALUE!	princ	mrznutí	Mráz	zmrazit
nanotrubička	nanotube	Nanotube	nanobuis	нанотрубки	nanotubo	nanotube	nanotrubice	#VALUE!	Nanobuis	Nanotrubice	Nanotubo	nanotrubice
navštívenka	card	Karte	kaart	открытка	tarjeta	carte	Kartu	#VALUE!	Mapa	Kartu	Kartu	mapa
nebíčko	bump	stoßen	buil	удар	bulto	cogner	narazit	#VALUE!	narazit	udeřil	balík	narazit
nebožtíček	dead	tot	dood	мертвых	muerto	morte	mrtvý	#VALUE!	mrtvý	mrtvý	mrtvý	mrtvý
nebožáček	poor	Arm	arm	бедный	pobre	pauvre	chudý	#VALUE!	paže	chudý	chudý	chudý
nebozízek	neozízek	Neozízek	neozízek	Неозизек	neozízek	neozízek	NeoZízek	#VALUE!	NeoZízek	Neozizk	NeoZízek	NeoZízek
necičky	nothing	nichts	niets	ничего такого	nada	rien	nic	#VALUE!	nic	nic	žádný	nic
nehtík	nail	Nagel	nagel	ноготь	uña	clou	nehet	#VALUE!	nehet	nehet	nehet	nehet
nehtíček	nail	Nagel	nagel	ноготь	uña	clou	nehet	#VALUE!	nehet	nehet	nehet	nehet
nehýtek	hobby	Hobby	hobby	хобби	Hobby	loisir	hobby	#VALUE!	hobby	hobby	Hobby	volný čas
neteřinka	niece	Nichte	nicht	племянница	sobrina	la nièce	neteř	#VALUE!	neteř	neteř	neteř	neteř
netopýrek	bat	Schläger	knuppel	летучая мышь	murciélago	chauve souris	netopýr	#VALUE!	netopýr	netopýr	netopýr	netopýr
nevěstinka	brothel	Bordell	bordeel	бордель	burdel	maison de prostitution	bordel	#VALUE!	bordel	bordel	bordel	Bordel
nevěstka	harlot	Hure	hoer	Гарлот	ramera	prostituée	nevěstka	#VALUE!	děvka	Nevěstka	nevěstka	prostitutka
neštovička	spoil	verderben	Bederven	портиться	arruinar	gâcher	zkazit	#VALUE!	Zkazit	zkazit	zkazit	zkazit
nicůtka	niche	Nische	niche	ниша	nicho	niche	výklenek	#VALUE!	výklenek	výklenek	výklenek	výklenek
nitka	thread	Faden	draad	нить	hilo	fil de discussion	vlákno	#VALUE!	drát	vlákno	vlákno	vlákno
nobleska	refinement	Raffinesse	verfijning	уточнение	refinamiento	raffinement	upřesnění	Sofistikovanost	upřesnění	vyjasnění	upřesnění	upřesnění
nočníček	potty	Töpfchen	onbenullig	горшок	orinal	pot	nočníček	#VALUE!	nechráněný	hrnec	nočníček	sklenice
nohavička	panty	Slip	panty	трусика	bragas	culotte	Panty	#VALUE!	Panty	kalhotky	kalhotky	drzý
nožka	stem	Stengel	stang	корень	provenir	tige	zastavit	#VALUE!	Tyč	vykořenit	zastavit	zastavit
noženka	foot	Fuß	voet	ступня	pie	le pied	chodidlo	#VALUE!	chodidlo	jediný	chodidlo	chodidlo
nožička	leg	Bein	been	нога	pierna	jambe	noha	#VALUE!	noha	noha	noha	noha
odnožka	offshoot	Ableger	uithoeken	Ответ	vástago	ramification	odnož	#VALUE!	roh	Odpovědět	zastavit	větvení ven
ponožtička	sock	Socke	sok	носок	calcetín	chaussette	ponožka	#VALUE!	ponožka	ponožka	ponožka	ponožka
noček	notor	Notor	Notor	численность	nota	notor	notor	#VALUE!	Notor	čísla	Poznámka	notor
norek	mink	Nerz	nerts	норка	visón	vison	norek	#VALUE!	norek	norek	norek	norek
nosík	nose	Nase	neus	нос	nariz	nez	nos	#VALUE!	nos	nos	nos	nos
nosánek	nose	Nase	neus	нос	nariz	nez	nos	#VALUE!	nos	nos	nos	nos
nosíček	nail	Nagel	nagel	ноготь	uña	clou	nehet	#VALUE!	nehet	nehet	nehet	nehet
notička	notes	Anmerkungen	aantekeningen	заметки	notas	Remarques	Poznámky	Poznámky	Poznámky	Poznámky	stupně	Poznámky
notýsek	notebook	Notizbuch	notitieboekje	ноутбук	computadora portátil	carnet	notebook	#VALUE!	notebook	notebook	notebook	notebook
nouzovka	emergency	Notfall	noodgeval	чрезвычайная ситуация	emergencia	urgence	nouzový	#VALUE!	nouzový	nouzový	nouzový	nouzový
novelka	novel	Roman	roman	роман	novela	roman	román	#VALUE!	román	román	román	román
novorozeneček	newborn	Neugeborenes	pasgeboren	новорожденный	recién nacido	nouveau née	novorozený	Novorozený	novorozený	novorozený	novorozený	Nově narozené
novorozeňátko	newborn baby	Neugeborenes	net geboren baby	новорожденный	bebé recién nacido	nouveau-né	novorozenec	Novorozený	novorozenec	novorozený	novorozenec	Nově narozené
novinka	novelty	Neuheit	nieuwigheid	новинка	novedad	nouveauté	novinka	#VALUE!	novinka	novinka	novinka	novinka
nudlička	noodle	Nudel	noedel	лапша	fideos	nouille	nudle	#VALUE!	nudle	nudle	nudle	nudle
nudlovka	nudel	Nudel	Nootel	Нудель	nudel	nudel	nudel	#VALUE!	Ušlechtilý	Nudle	Nudel	nudel
nymfička	nymph	Nymphe	nimf	нимфа	ninfa	nymphe	nymfa	#VALUE!	nymfa	nymfa	nymfa	nymfa
nádobka	container	Container	container	контейнер	envase	récipient	kontejner	#VALUE!	kontejner	kontejner	kontejner	kontejner
nádobíčko	container	Container	container	контейнер	envase	récipient	kontejner	#VALUE!	kontejner	kontejner	kontejner	kontejner
náhrdelníček	necklace	Halskette	ketting	ожерелье	collar	Collier	náhrdelník	#VALUE!	řetěz	náhrdelník	náhrdelník	Náhrdelník
nátepníček	tire	Reifen	band	шина	neumático	pneu	pneumatika	#VALUE!	kapela	pneumatika	pneumatika	pneumatika
náševek	Candle	Kerze	Kaars	Свеча	Vela	Bougie	Svíčka	#VALUE!	Svíčka	Svíčka	Svíčka	Svíčka
nánosek	appointment	geplanter Termin	afspraak	деловое свидание, встреча	cita	rendez-vous	jmenování	#VALUE!	jmenování	Obchodní rande, schůzka	datum	jmenování
nosítka	litter	Wurf	afval	мусор	lecho	litière	smetí	#VALUE!	odpad	odpadky	smetí	smetí
nůška	thump	Schlag	bonzen	ударить	golpear	cogner	Thump	#VALUE!	libra	udeřil	porazit	narazit
výnosek	yield	Ertrag	opbrengst	урожай	rendir	rendement	výtěžek	#VALUE!	výtěžek	sklizeň	výtěžek	výtěžek
nýtek	rivet	Niet	klinknagel	заклепка	remache	rivet	nýt	#VALUE!	nýt	nýt	nýt	nýt
něžnůstka	tenderness	Zärtlichkeit	tederheid	нежность	sensibilidad	tendresse	něha	něha	něha	něha	citlivost	něha
nožíček	knife	Messer	mes	нож	cuchillo	couteau	nůž	#VALUE!	nůž	nůž	nůž	nůž
nůžtičky	scissors	Schere	schaar	ножницы	tijeras	les ciseaux	nůžky	#VALUE!	nůžky	nůžky	nůžky	nůžky
obcička	municipality	Gemeinde	gemeente	муниципалитет	municipio	municipalité	obec	#VALUE!	Okres	obec	obec	obec
občánek	citizen	Bürger	inwoner	гражданин	ciudadano	citoyen	občan	#VALUE!	rezident	občan	občan	občan
obilka	grain	Getreide	korrel	зерно	grano	grain	obilí	#VALUE!	obilí	kukuřice	obilí	obilí
obilíčko	grain	Getreide	korrel	зерно	grano	grain	obilí	#VALUE!	obilí	kukuřice	obilí	obilí
obláček	cloud	Wolke	wolk	облако	nube	nuage	mrak	#VALUE!	mrak	mrak	mrak	mrak
oblounek	arc	Bogen	boog	дуговой	arco	arc	oblouk	#VALUE!	luk	oblouk	luk	luk
oblinka	bun	Brötchen	knobbeltje	булочка	bollo	chignon	drdol	#VALUE!	kus	drdol	drdol	drdol
oblouček	arc	Bogen	boog	дуговой	arco	arc	oblouk	#VALUE!	luk	oblouk	luk	luk
oboječek	fastener	Verschluss	bevestigingsmiddel	застежка	cierre	attache	upevňovač	Uzavření	montážní agent	spona	uzavření	připojený
obůrka	game	Spiel	spel	игра	juego	Jeu	hra	#VALUE!	hra	hra	hrát si	Hra
obřík	giant	Riese	reusachtig	гигант	gigante	géant	obří	#VALUE!	obrovský	obří	obří	obří
obrázek	picture	Bild	afbeelding	картина	imagen	image	obrázek	#VALUE!	obraz	malování	obraz	obraz
obrázeček	picture	Bild	afbeelding	картина	imagen	image	obrázek	#VALUE!	obraz	malování	obraz	obraz
obroučka	rim	Rand	rand	оборудование	borde	jante	okraj	#VALUE!	okraj	zařízení	okraj	okraj
obídek	obscure	obskur	obscuur	затемнять	oscuro	obscur	obskurní	#VALUE!	obskurní	Parger	Temný	obskurní
ocásek	tail	Schwanz	staart	хвост	cola	queue	ocas	#VALUE!	ocas	ocas	ocas	ocas
ocelek	steel	Stahl	staal	стали	acero	acier	ocel	#VALUE!	ocel	stát se	ocel	ocel
ocílka	steel	Stahl	staal	стали	acero	acier	ocel	#VALUE!	ocel	stát se	ocel	ocel
odérek	odor	Geruch	geur	запах	olor	odeur	zápach	#VALUE!	zápach	čich	čich	zápach
ofinka	bang	Knall	knal	хлопнуть	estallido	pan	Bang	#VALUE!	Pop	tleskat	Pop	Bang
ogárek	ogarek	Ogarek	Ogarek	Огарек	ogarek	ogarek	Ogarek	#VALUE!	Ogarek	Ogarek	Ogarek	Ogarek
ohniváček	fiery	feurig	vurig	огненный	ardiente	ardent	ohnivý	#VALUE!	ohnivý	ohnivý	hořící	vroucí
ohnišťátko	firefight	Feuergefecht	vuurgevecht	Пожарная пересадка	tiroteo	fusillade	Firefight	Hašení požáru	Firefight	Transplantace požáru	Střílení	Střílení
ohníček	fire	Feuer	vuur	Огонь	fuego	Feu	oheň	#VALUE!	ohňostroj	oheň	oheň	oheň
táboráček	camp	Lager	kamp	лагерь	acampar	camp	tábor	#VALUE!	tábor	tábor	kempovat	tábor
ojka	dick	Schwanz	Dick	Дик	polla	queue	Dick	#VALUE!	Dick	Dick	kohout	ocas
vojnička	war	Krieg	oorlog	война	guerra	guerre	válka	#VALUE!	válka	válka	válka	válka
vojáček	soldier	Soldat	soldaat	солдат	soldado	soldat	voják	#VALUE!	voják	voják	voják	voják
okamžíček	instant	sofortig	ogenblik	мгновенный	instante	instantané	okamžitý	#VALUE!	okamžik	okamžitý	okamžitý	okamžitý
oklepek	shake	Shake	schudden	встряхнуть	sacudir	secouer	otřást	#VALUE!	otřást	otřást	zbavit se	otřást
oklestek	ocular	Okular	oculair	глазное	ocular	oculaire	oční	#VALUE!	okulár	oko	oční	oční
okluzorek	occlusion	Okklusion	occlusie	окклюзия	oclusión	occlusion	okluze	#VALUE!	okluze	okluze	okluze	okluze
okenička	window	Fenster	venster	окно	ventana	la fenêtre	okno	#VALUE!	okno	okno	okno	okno
okénko	window	Fenster	venster	окно	ventana	la fenêtre	okno	#VALUE!	okno	okno	okno	okno
okénečko	window	Fenster	venster	окно	ventana	la fenêtre	okno	#VALUE!	okno	okno	okno	okno
obočíčko	eyebrow	Augenbraue	wenkbrauw	бровь	ceja	sourcil	obočí	Obočí	obočí	obočí	obočí	obočí
okounek	perch	Barsch	baars	окунь	perca	perche	okoun	#VALUE!	okoun	okoun	okoun	pól
očičko	eye	Auge	oog	глаз	ojo	œil	oko	#VALUE!	oko	oko	oko	oko
okrsek	district	Bezirk	wijk	округ	distrito	district	okres	#VALUE!	sousedství	Okres	okres	okres
okurčička	cucumber	Gurke	komkommer	огурец	pepino	concombre	okurka	#VALUE!	okurka	okurka	okurka	okurka
okřínek	ocian	OCIAN	Ociaans	Окьян	ociano	ocian	Ocian	#VALUE!	Ocian	Oksyan	Ociano	Ocian
olejnička	oilcan	Ölkanne	Oliekan	нефтяной	lata de aceite	burette de graissage	plechovka s olejem	#VALUE!	Olej	olej	plechovka s olejem	plechovka s olejem
olivka	olive	Olive	olijf-	олив	aceituna	olive	olivový	#VALUE!	olivový	olivový	olivový	olivový
olůvko	sinker	Sinker	zinklood	грузило	plomo	plomb	Sticker	#VALUE!	dřez	Sticker	Vést	Vést
oltářík	altar	Altar	altaar	алтарь	altar	autel	oltář	#VALUE!	oltář	oltář	oltář	oltář
oltáříček	altar	Altar	altaar	алтарь	altar	autel	oltář	#VALUE!	oltář	oltář	oltář	oltář
olšovka	alder	Erle	els	ольха	aliso	aulne	olše	#VALUE!	olše	olše	olše	olše
omeletka	omelette	Omelette	omelet	омлет	tortilla	omelette	vaječná omeleta	#VALUE!	omeleta	vaječná omeleta	Tortilla	vaječná omeleta
opatek	reef	Riff	rif	риф	arrecife	récif	útes	#VALUE!	útes	útes	útes	útes
opička	monkey	Affe	aap	обезьяна	mono	singe	opice	#VALUE!	opice	opice	luk	opice
opičáček	monkey	Affe	aap	обезьяна	mono	singe	opice	#VALUE!	opice	opice	luk	opice
opičátko	monkey	Affe	aap	обезьяна	mono	singe	opice	#VALUE!	opice	opice	luk	opice
oplítačky	fetters	Fesseln	boeien	оковы	gripe	bricoler	Fetters	#VALUE!	fascinovat	spoutat	chřipka	dráteník
oprátka	noose	Schlinge	strop	петля	nudo corredizo	nœud coulant	smyčka	#VALUE!	kopeček	smyčka	klouzavý uzel	smyčka
operetka	operetta	Operette	operette	оперетта	opereta	opérette	opereta	#VALUE!	opereta	opereta	opereta	opereta
operka	operating	Betriebs	werkzaam	работа	operando	en fonctionnement	provozní	#VALUE!	aktivní	Práce	provozní	Provozní
orangutánek	orangute	Orangute	oranje	оранговый	oranguto	orangute	Orangute	#VALUE!	oranžový	oranžový	Orangto	Orangute
orchestřík	orchestra	Orchester	orkest	оркестр	orquesta	orchestre	orchestr	#VALUE!	orchestr	orchestr	orchestr	orchestr
orchidejka	orchid	Orchidee	orchidee	орхидея	orquídea	orchidée	orchidej	#VALUE!	orchidej	orchidej	orchidej	orchidej
orlík	Orlík	Orlík	Orlík	Орлик	Orlík	Orlík	Orlik	#VALUE!	Orlik	Orlik	Orlik	Orlik
orlíček	columbine	Akelei	akelei	Колумбин	aguileña	ancolie	orlíček	#VALUE!	orlíček	Columbin	orlíček	orlíček
orgánek	organ	Organ	orgaan	орган	Organo	organe	orgán	#VALUE!	orgán	orgán	Orgán	orgán
osička	axis	Achse	as	ось	eje	axe	osa	#VALUE!	popel	osa	osa	osa
oslátko	fever	Fieber	koorts	жар	fiebre	fièvre	horečka	#VALUE!	horečka	teplo	horečka	horečka
oslík	donkey	Esel	ezel	осел	Burro	âne	osel	#VALUE!	osel	osel	Osel	osel
oslíček	donkey	Esel	ezel	осел	Burro	âne	osel	#VALUE!	osel	osel	Osel	osel
osmička	eight	acht	acht	восемь	ocho	huit	osm	#VALUE!	osm	osm	osm	osm
osmikabinka	octagon	Achteck	achthoek	восьмиугольник	octágono	octogone	osmiúhelník	#VALUE!	osmiúhelník	osmiúhelník	osmiúhelník	osmiúhelník
osminka	eighth	achte	achtste	восьмой	octavo	huitième	osmý	#VALUE!	osmý	osmý	osmý	osmý
osobička	person	Person	persoon	человек	persona	la personne	osoba	#VALUE!	osoba	člověk	osoba	osoba
osobnůstka	personal	persönlich	persoonlijk	личный	personal	personnel	osobní	osobně	osobní	soukromé	personál	osobní
osůbka	abuse	Missbrauch	misbruik	злоупотреблять	abuso	abuser de	zneužívání	zneužívání	zneužívání	zneužívání	zneužívání	zneužívání
ostének	spare	Ersatzteil	Reserve	запасной	repuesto	de rechange	náhradní	Náhradní díl	Rezervovat	náhradní	výměna, nahrazení	náhradní
ostrůvek	islet	Inselchen	eilandje	островок	isleta	îlot	ostrůvek	#VALUE!	ostrov	ostrov	ostrůvek	malý ostrov
otevíráček	opener	Öffner	opener	новичок	abrelatas	ouvreur	otvírák	#VALUE!	otvírák	Nováček	otvírák	otvírák
otvůrek	opening	Öffnung	opening	открытие	apertura	ouverture	otevírací	#VALUE!	otevírací	otevírací	otevírací	otevírací
otrůček	slap	schlagen	klap	шлепок	bofetada	gifler	políček	#VALUE!	otvor	políček	políček	políček
otčenášek	Father	Vater	Vader	Отец	Padre	Père	Otec	#VALUE!	Otec	Otec	Táto	Táto
ovečka	sheep	Schaf	schaap	овец	oveja	mouton	ovce	#VALUE!	ovce	ovce	ovce	ovce
ovčáček	shepherd	Schäfer	herder	пасти	pastor	berger	pastýř	#VALUE!	pastýř	pást se	Pastýř	pastýř
oválek	oval	Oval	ovaal	овальный	oval	ovale	ovál	#VALUE!	ovál	ovál	ovál	ovál
buráček	peak	Gipfel	piek	вершина горы	cima	de pointe	vrchol	#VALUE!	vrchol	vrchol	horní	vrchol
oříšek	nut	Mutter	noot	орех	nuez	noix	matice	#VALUE!	Poznámka	matice	matice	matice
pacička	paw	Pfote	poot	лапа	pata	patte	tlapka	#VALUE!	Mate	tlapka	tlapka	tlapka
pacinka	pacing	Tempo	pacing	темп	ritmo	rythme	Stimulace	#VALUE!	Stimulace	tempo	houpačka	rytmus
zápašek	hassle	Ärger	gedoe	неприятный	molestia	problèmes	hádka	#VALUE!	půda	nepříjemný	nepříjemnost	problémy
pacholek	tag	Schild	label	ярлык	etiqueta	étiquette	štítek	#VALUE!	označení	označení	označení	označení
pacholík	saucepan	Topf	pan	кастрюля	cacerola	casserole	pánev	#VALUE!	pánev	hrnec	pánev	pánev
pacholátko	tab	Tab	lab	вкладка	pestaña	languette	Tab	#VALUE!	laboratoř	Tab	Tab	jazyk
nápadek	idea	Idee	idee	идея	ocurrencia	idée	idea	#VALUE!	idea	idea	idea	idea
nápadeček	brief	knapp	kort	краткий	breve	bref	stručný	#VALUE!	krátký	stručný	stručný	Krátký
propástka	stomach	Magen	maag	желудок	estómago	estomac	žaludek	#VALUE!	žaludek	žaludek	žaludek	žaludek
případek	case	Fall	geval	кейс	caso	Cas	případ	#VALUE!	případ	Případ	případ	Případ
západníček	western	Western	westers	западный	occidental	occidental	západní	#VALUE!	západní	Západ	západní	Západní
zapadáček	backcount	Rückzahlung	backcount	Бэкконт	de cuenta	backnow	backcount	splácení	Počet zpět	Backcont	účtu	zadní
padáček	parachute	Fallschirm	parachute	парашют	paracaídas	parachute	padák	Padák	padák	padák	padák	padák
padesátikorunka	fifty-crown	Fünfzig Crown	vijftig kroon	Пятьдесят	cincuenta coronas	Cinquante-couronne	padesát	Padesát koruny	Padesát koruny	Padesáti	Padesát korun	Padesát corounne
padoušek	badge	Abzeichen	insigne	значок	Insignia	badge	odznak	#VALUE!	insignie	ikona	Odznak	odznak
pagáček	pagacek	Pagacek	pagacek	ПАГАСЕК	pagacek	pagai	Pagacek	#VALUE!	Pagacek	Pagasek	Platit	pádlo
pahýlek	stump	Stumpf	stomp	пень	tocón	souche	pahýl	#VALUE!	pahýl	pahýl	pahýl	pahýl
pajduláček	pajduláček	Pajduláček	pajduláček	Пайдулачик	pajduláček	Pajduláček	Pajduláchek	Pajduláchek	Pajduláchek	Paylulachik	Pajduláchek	Pajduláchek
pajzlík	pair	Paar	paar-	пара	par	paire	pár	#VALUE!	pár-	pár	pár	pár
paklík	packer	Packer	packer	упаковщик	envasador	emballeur	Packer	#VALUE!	Packer	Packer	Packer	Packer
paklíček	packet	Paket	pakket	пакет	paquete	paquet	paket	#VALUE!	balík	balík	balík	balíček
paleček	inch	Zoll	inch	дюйм	pulgada	pouce	palec	#VALUE!	palec	palec	palec	palec
paletka	palette	Palette	palet	палитра	paleta	palette	paleta	#VALUE!	paleta	paleta	paleta	paleta
palmička	palm	Palme	palm	Пальма	palmera	palmier	dlaň	#VALUE!	dlaň	Dlaň	dlaň	dlaň
